Name,Price,Link
Adaptador Usb  Tipo C Fêmea P/ Usb 2.0 Macho P/ iPhone 11 12,15,https://produto.mercadolivre.com.br/MLB-1876778144-adaptador-usb-tipo-c-fmea-p-usb-20-macho-p-iphone-11-12-_JM#position=3&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Plug Usb Tipo C Fêmea X Usb Macho iPhone 11 12 13,12,https://produto.mercadolivre.com.br/MLB-2182099694-adaptador-plug-usb-tipo-c-fmea-x-usb-macho-iphone-11-12-13-_JM#position=4&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Hub Adaptador Usb-c Ugreen 6 Em 2 Para Macbook Air E Pro,23,https://produto.mercadolivre.com.br/MLB-2966019206-hub-adaptador-usb-c-ugreen-6-em-2-para-macbook-air-e-pro-_JM#position=5&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Cabo Adaptador Tipo C Otg Pendrive Para Celular E Tablet,11,https://produto.mercadolivre.com.br/MLB-2182031452-cabo-adaptador-tipo-c-otg-pendrive-para-celular-e-tablet-_JM#position=6&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Tipo C Celular Para Mouse Usb Conversor Otg,14,https://produto.mercadolivre.com.br/MLB-1954718550-adaptador-tipo-c-celular-para-mouse-usb-conversor-otg-_JM#position=7&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Hub Para Macbook Pro Air Thunderbolt Usb C Hdmi 4k,211,https://produto.mercadolivre.com.br/MLB-2131165761-adaptador-hub-para-macbook-pro-air-thunderbolt-usb-c-hdmi-4k-_JM#position=8&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Conversor Usb Para Usb-c | Tipo-c Otg Baseus,5,https://produto.mercadolivre.com.br/MLB-1640017007-adaptador-conversor-usb-para-usb-c-tipo-c-otg-baseus-_JM#position=9&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
" Carregador Para iPhone 11 13 Pro 12 Promax Turbo 20w Tipo C",36,https://www.mercadolivre.com.br/carregador-para-iphone-11-13-pro-12-promax-turbo-20w-tipo-c/p/MLB19877997#searchVariation=MLB19877997&position=1&search_layout=stack&type=product&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Dock Thunderbolt3 Usb C Hdmi P/ Macbook Air Pro M1,169,https://produto.mercadolivre.com.br/MLB-2690476145-adaptador-dock-thunderbolt3-usb-c-hdmi-p-macbook-air-pro-m1-_JM#position=10&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Tipo C Para Hdmi 4k Usb 3.0 Hub Macbook Air Pro Nf,63,https://produto.mercadolivre.com.br/MLB-2648716885-adaptador-tipo-c-para-hdmi-4k-usb-30-hub-macbook-air-pro-nf-_JM#position=11&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Conversor Adaptador Plug Usb Tipo C Para Usb A Convencional,0,https://produto.mercadolivre.com.br/MLB-2707316281-conversor-adaptador-plug-usb-tipo-c-para-usb-a-convencional-_JM#position=12&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Celular Tipo C Para Mouse Usb Conversor Otg,5,https://produto.mercadolivre.com.br/MLB-1770150983-adaptador-celular-tipo-c-para-mouse-usb-conversor-otg-_JM#position=13&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Type-c Fêmea Para Usb Macho Conversor Prático,1,https://produto.mercadolivre.com.br/MLB-2182073898-adaptador-type-c-fmea-para-usb-macho-conversor-pratico-_JM#position=14&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador V8 Micro Usb Femea X Tipo C 3.1 Macho Moto Z S8 S9,11,https://produto.mercadolivre.com.br/MLB-862416619-adaptador-v8-micro-usb-femea-x-tipo-c-31-macho-moto-z-s8-s9-_JM#position=15&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Otg Tipo C / V8 Leitor De Cartão Sd E Micro Sd ,44,https://produto.mercadolivre.com.br/MLB-2897447296-adaptador-otg-tipo-c-v8-leitor-de-carto-sd-e-micro-sd-_JM#position=16&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Hub Usb Hdmi Type-c Usb-c 7 Portas Usb 3.0 5 Gbps Adaptador ,14,https://produto.mercadolivre.com.br/MLB-2704041651-hub-usb-hdmi-type-c-usb-c-7-portas-usb-30-5-gbps-adaptador-_JM#position=17&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Vídeo Tipo-c Para Hdmi Usb 3.0 4k Alta Qualidade,59,https://produto.mercadolivre.com.br/MLB-2702917639-adaptador-video-tipo-c-para-hdmi-usb-30-4k-alta-qualidade-_JM#position=18&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Adaptador Tipo C Celular Para Mouse Usb Conversor Otg Ugreen,3,https://produto.mercadolivre.com.br/MLB-2711049950-adaptador-tipo-c-celular-para-mouse-usb-conversor-otg-ugreen-_JM#position=19&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Ugreen  - Adaptador Usb 3.0 X Usb-c 5gbps 50533 - C/ Nfe,7,https://produto.mercadolivre.com.br/MLB-2092626579-ugreen-adaptador-usb-30-x-usb-c-5gbps-50533-c-nfe-_JM#position=20&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Conversor Tipo C Otg Para Usb Macbook Air Pro 2020 Em Diante,8,https://produto.mercadolivre.com.br/MLB-2039171997-conversor-tipo-c-otg-para-usb-macbook-air-pro-2020-em-diante-_JM#position=21&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
Cabo Adaptador Tipo C Otg - Universal,11,https://produto.mercadolivre.com.br/MLB-2003098224-cabo-adaptador-tipo-c-otg-universal-_JM#position=22&search_layout=stack&type=item&tracking_id=31e0a509-fb31-4cef-9e02-b82e8f34d676
